,tweets,likes,time
117,$GS' Kate McShane on why third-party fulfillment providers are an important part of the same-day delivery equation in this episode of The Daily Check-In: https://t.co/9z5NK7IgXY https://t.co/JgJPGikqGP,6,2021-05-26 18:00:25
118,Investors are worried about inflation—should you be? David Mericle of $GS Research and Josh Schiffrin of Global Markets explain the risks and the outlook for inflation in Exchanges at Goldman Sachs: https://t.co/BGxLilrHuS https://t.co/iK2x8TB79V,7,2021-05-26 17:00:08
119,"We are pleased to join the Green Software Foundation alongside @Microsoft, @Accenture, @linuxfoundation and other partners to establish innovative green engineering standards globally. https://t.co/7MGwTvkcha",28,2021-05-26 16:00:04
120,".@MikeSievert, CEO of @TMobile, shares his perspective on the global desire for a more sustainable world in a #TalksAtGS, with $GS' president and COO John Waldron: https://t.co/6YJlf7OX4m https://t.co/B4nhyVSkod",7,2021-05-26 15:00:22
121,Watch $GS chief US equity strategist David Kostin speak on earnings and his outlook for the market on @BloombergTV: https://t.co/TJ2ls87N0j,6,2021-05-26 14:00:01
122,"In a conversation with @CMofKarnataka today, we shared our focus on supporting Karnataka's Covid-19 relief efforts - in collaboration with UnitedWay. #GoldmanSachsIndia https://t.co/lpwrxENu17",67,2021-05-26 09:50:56
123,RT @Reuters: Goldman's new director makes its board almost half female https://t.co/KFaDe5dHuQ https://t.co/rucI6TGlnY,0,2021-05-24 21:00:01
124,.@ultabeauty CEO Mary Dillon shares her outlook on how consumers prefer more sustainable products within the beauty sector in a #TalksAtGS with $GS' chairman and CEO David Solomon: https://t.co/EJetXJPLvv https://t.co/6MDvohD67K,19,2021-05-24 20:00:17
125,"Congratulations to @FionaCarter, $GS' chief marketing officer, on being named to @CrainsNewYork Business 2021 Notable in Marketing and PR: https://t.co/kwcubTZmwh https://t.co/Roz1afVorT",22,2021-05-24 19:17:54
126,"Watch $GS chief economist Jan Hatzius speak about inflation, the economy and cryptocurrencies on @YahooFinance:
https://t.co/nrP7h07HSj",21,2021-05-24 18:30:00
127,#ICYMI: $GS Research’s Evan Tylenda discusses the changing landscape of ESG regulation in Europe and the implications for investors in this episode of The Daily Check-In: https://t.co/AgcK3W1Xtm https://t.co/xSMR4TYP51,11,2021-05-22 15:00:21
128,How does the EU’s Sustainable Finance Disclosure Regulation change ESG classification in Europe? Evan Tylenda of $GS Research discusses in this episode of The Daily Check-In: https://t.co/YrkE9UyGvO https://t.co/GQpQnFFJPP,17,2021-05-21 19:45:18
129,"Watch Christina Minnis, $GS' global head of acquisition finance, discuss the large M&amp;A transactions ahead on @BloombergTV: https://t.co/ktNKy4Hm0M",14,2021-05-21 19:02:58
130,"As we share details on these first investments and grants, please continue to provide your ideas and suggestions: https://t.co/YL1D264ONR #BlackWomenImpact",7,2021-05-21 17:14:52
