,tweets,likes,time
114,"Leading up to the United Nations World Day for #CulturalDiversity for Dialogue and Development, you can visit our Instagram Stories to meet just a few of the employees who make our company culture so special. Click to get started: https://t.co/ZI4E1GR2fH # https://t.co/phk2haEKIr",5,2021-05-17 17:40:21
115,.@aarti411 joined Managing Director Seema Hingorani and our Asian Employee Network to speak about the experiences that led her to become an activist and advocate for immigrants. #APAHM #AAPIHM https://t.co/Y7wRrB5H5k,11,2021-05-16 13:30:04
116,Join us in congratulating Morgan Stanley Executive Directors Sophie Chandauka and Bijna Kotak Dasani who have been recognised in the @EMpoweriB 100 Ethnic Minority Executive Role Models 2021 List. Read more: https://t.co/NP3ZeU3vfE #EMRoleModels21 https://t.co/DQbVcxwZmL,17,2021-05-15 14:30:00
117,"The past year, major Hollywood movie theaters came close to bankruptcy, while independents struggled to stay alive. Host @Sonari Glinton explores how the pandemic changed how we watch movies, who gets to tell stories, and where they get made. https://t.co/EUPBh8PaYP",54,2021-05-14 21:35:27
118,"While addressing climate change is a priority for investors, many lack strategies for how to do it. Portfolio manager Andrew Harmstone explains how investors can align their portfolios with the Paris Agreement. https://t.co/LeV2Fsub65",16,2021-05-14 19:00:02
119,Congratulations to the @CityYearUK team who were crowned the winners of the 2021 UK Strategy Challenge!  Learn more about the Strategy Challenge here: https://t.co/lo3RK3FtcX #MSGivesBack https://t.co/xJ5UVFWJuZ,12,2021-05-14 14:16:20
120,"6 takeaways for investors about why the Biden administration’s infrastructure plan could spark a decade-long supercycle for building materials, spilling over to the rest of the U.S. economy. 
https://t.co/p5kt4Tj7HY",9,2021-05-14 14:00:00
121,Labor shortages and inventory constraints are weighing on U.S. manufacturing and shipping. How severe could the impact be to U.S. GDP and multi-industry revenues? https://t.co/WLAqAYv6E2,4,2021-05-14 12:19:42
122,"Peter Akwaboah, our COO for Operations, Technology, and Firm Resilience discussed championing gender diversity in the work place &amp; the latest tech innovations to pay attention to, at the One Tech World Conference. Read more about Tech at Morgan Stanley: https://t.co/Mg2BYmC680 https://t.co/OreiqZv9Zr",14,2021-05-13 22:01:54
123,"Siân Allsopp, Executive Director of Technology at Morgan Stanley, discussed the importance of placing an emphasis on equity as businesses look to create diversity and inclusion initiatives, at the @WATC_WeAreTech One Tech World Conference. Read more https://t.co/pJo3bMRru3 https://t.co/YVlR4HcPvc",11,2021-05-13 14:29:40
